"""","生産･輸入品に課される税(控除)補助金(6)(百万円)","県内要素所得（純生産） (7)=(5)-(6)(百万円)","雇用者報酬(8)(百万円)","営業余剰・混合所得(9)=(7)-(8)(百万円)"
"１．産    業","289837.0","2255778.0","1072941.0","1182837.0"
"","","","",""
"  (1) 農林水産業","4.0","48270.0","22326.0","25944.0"
"      ①  農    業","-357.0","41235.0","18721.0","22514.0"
"      ②  林    業","135.0","1148.0","2150.0","-1002.0"
"      ③  水 産 業","226.0","5887.0","1455.0","4432.0"
"  (2) 鉱      業","89.0","820.0","304.0","516.0"
"","","","",""
"  (3) 製  造  業","184894.0","666131.0","275717.0","390414.0"
"      ①  食  料  品","14414.0","44681.0","34992.0","9689.0"
"      ②  繊      維","1314.0","16864.0","10422.0","6442.0"
"      ③  ﾊﾟﾙﾌﾟ･紙","580.0","4193.0","4886.0","-693.0"
"      ④  化      学","9114.0","105889.0","36741.0","69148.0"
"      ⑤  石油･石炭製品","122836.0","62929.0","9314.0","53615.0"
"      ⑥  窯業･土石製品","1371.0","19223.0","7516.0","11707.0"
"      ⑦  鉄      鋼","17137.0","148678.0","30569.0","118109.0"
"      ⑧  非 鉄 金 属","515.0","6220.0","2082.0","4138.0"
"      ⑨  金 属 製 品","2327.0","33344.0","20565.0","12779.0"
"      ⑩  一 般 機 械","9538.0","145327.0","45007.0","100320.0"
"      ⑪  電 気 機 械","795.0","9165.0","23652.0","-14487.0"
"      ⑫  輸 送 機 械","396.0","6088.0","3650.0","2438.0"
"      ⑬  精 密 機 械","374.0","4775.0","5793.0","-1018.0"
"      ⑭  その他の製造業","4183.0","58755.0","40528.0","18227.0"
"","","","",""
"  (4) 建  設  業","9761.0","205060.0","106933.0","98127.0"
"  (5) 電気･ｶﾞｽ･水道業","7642.0","31906.0","32129.0","-223.0"
"  (6) 卸売･小売業","22874.0","298234.0","109291.0","188943.0"
"","","","",""
"  (7) 金融･保険業","401.0","115627.0","52500.0","63127.0"
"  (8) 不 動 産 業","26040.0","260376.0","7829.0","252547.0"
"  (9) 運  輸  業","9232.0","96281.0","68003.0","28278.0"
" (10) 情報通信業","4726.0","64320.0","19306.0","45014.0"
" (11) サ－ビス業","24174.0","468754.0","378603.0","90151.0"
"","","","",""
"２．政府ｻ-ﾋﾞｽ生産者","474.0","263630.0","263630.0","0.0"
"  (1) 電気･ｶﾞｽ･水道業","0.0","2166.0","2166.0","0.0"
"  (2) サ－ビス業","36.0","93212.0","93212.0","0.0"
"  (3) 公      務","438.0","168252.0","168252.0","0.0"
"３．対家計民間非営利","","","",""
"      サ－ビス生産者","1844.0","84004.0","84004.0","0.0"
"  (1) サ－ビス業","1844.0","84004.0","84004.0","0.0"
"","","","",""
"         小    計","292155.0","2603412.0","1420575.0","1182837.0"
"","","","",""
"　  輸入品に課される税・関税","42970.0","0.0","0.0","0.0"
"（控除）総資本形成に係る消費税","22075.0","0.0","0.0","0.0"
"","","","",""
"         合     計","313050.0","2603412.0","1420575.0","1182837.0"
